obj_id,count
Q40446,2980
Q95965839,1291
Q3235597,957
Q14373,898
Q36963,782
Q9103,357
Q58,277
Q7873,271
Q8124,265
Q10791,245
Q3199915,163
Q4282505,163
Q4620674,158
Q2192288,127
Q110999040,125
Q2763,122
Q10807,117
Q42165,114
Q133993,110
Q110795550,102
Q2724165,98
Q22710,98
Q849944,93
Q650891,89
Q174471,79
Q3966286,78
Q1784476,74
Q808132,72
Q575439,69
Q1899269,67
Q56328993,67
Q83345,62
Q8495,61
Q1194492,60
Q41522095,58
Q496,57
Q486775,55
Q673203,55
Q5880,54
Q96035000,54
Q188641,54
Q1996993,52
Q937330,51
Q17977112,51
Q124490,46
Q132821,46
Q8396,45
Q5873,43
Q96032053,42
Q17164849,40
Q9612,38
Q1406501,37
Q912179,37
Q10806,34
Q232755,33
Q843533,33
Q9384,32
Q8452,32
Q132781,31
Q324139,31
Q131192,30
Q11722446,30
Q152311,30
Q181001,29
Q873072,27
Q10737,27
Q9631,26
Q9715,24
Q83772,24
Q170430,24
Q204933,22
Q10988133,21
Q847935,21
Q4112929,21
Q8454,21
Q182865,20
Q8401,19
Q4157206,19
Q1081574,19
Q36633,18
Q1324130,18
Q891854,17
Q178810,17
Q608,16
Q42767,16
Q10801,16
Q545449,16
Q211011,16
Q283534,16
Q41397,15
Q2981049,15
Q2223653,15
Q175111,15
Q952443,15
Q37878723,15
Q104852369,14
Q1800556,14
Q164654,14
Q2487,14
Q111968653,13
Q5007906,13
Q3258546,13
Q179250,13
Q22907837,13
Q34168,13
Q28120472,12
Q1313678,12
Q1412313,12
Q909737,12
Q11202642,12
Q2380335,12
Q986161,11
Q190845,11
Q1211892,11
Q3588250,11
Q6165880,11
Q216169,11
Q291,11
Q149086,11
Q40924,11
Q3882219,11
Q188494,10
Q109728975,10
Q56857972,10
Q1342425,10
Q76469,10
Q108440495,10
Q164983,10
Q1746784,10
Q47092,9
Q107461898,9
Q106991061,9
Q13510036,9
Q875006,9
Q6623,9
Q56692098,9
Q111029132,9
Q86254356,9
Q467011,9
Q10816,9
Q8402,9
Q16330780,9
Q750215,8
Q4668509,8
Q2750241,8
Q156537,8
Q131295,8
Q13648784,8
Q628958,8
Q300648,8
Q161850,8
Q52418,8
Q844482,8
Q56692112,8
Q79749,7
Q8398,7
Q643474,7
Q11314470,7
Q4382340,7
Q1091648,7
Q108476651,7
Q155925,7
Q2797478,7
Q1098028,7
Q6937963,7
Q234213,6
Q64938817,6
Q177716,6
Q833304,6
Q673265,6
Q1480864,6
Q13587273,6
Q3698123,6
Q626503,6
Q67236135,6
Q11919677,6
Q3242878,6
Q104957993,6
Q134301,6
Q910759,6
Q172067,6
Q51649,6
Q109739893,6
Q111361993,6
Q1572196,6
Q1784963,6
Q3251025,5
Q133462,5
Q7539983,5
Q2813858,5
Q85403450,5
Q220359,5
Q29514943,5
Q44595,5
Q1627899,5
Q208373,5
Q1840469,5
Q1414941,5
Q488,5
Q111420818,5
Q95579249,5
Q106925387,5
Q165058,5
Q1404482,5
Q1639034,5
Q1238934,5
Q109690069,5
Q217327,5
Q131297,4
Q67237268,4
Q5887,4
Q13616188,4
Q109673069,4
Q111467700,4
Q775405,4
Q1018743,4
Q898886,4
Q638603,4
Q1264902,4
Q37001445,4
Q536554,4
Q11608124,4
Q28036573,4
Q321594,4
Q154494,4
Q6900329,4
Q2001676,4
Q2094798,4
Q421966,4
Q193777,4
Q918319,4
Q16943283,4
Q70210494,4
Q81360866,4
Q796006,4
Q271837,4
Q1343157,4
Q2148678,4
Q63977136,4
Q1435124,4
Q473845,4
Q2142916,4
Q318529,4
Q51656,4
Q22728,4
Q19393843,4
Q85636305,4
Q2349,4
Q2122,4
Q916412,4
Q167191,4
Q862586,4
Q19841484,4
Q331828,4
Q478301,3
Q866650,3
Q110084,3
Q66827447,3
Q2179394,3
Q1418287,3
Q705222,3
Q1150876,3
Q1058795,3
Q3435795,3
Q21479779,3
Q1345851,3
Q11694,3
Q2911491,3
Q623636,3
Q1372737,3
Q188799,3
Q760037,3
Q1139400,3
Q16145053,3
Q66108236,3
Q1026171,3
Q3490562,3
Q1239497,3
Q111358099,3
Q26553,3
Q28120272,3
Q4941344,3
Q18718876,3
Q1145328,3
Q206426,3
Q4668484,3
Q1502014,3
Q15456623,3
Q1052700,3
Q1973927,3
Q2406205,3
Q509699,3
Q6163243,3
Q4825093,3
Q4239723,3
Q851824,3
Q82542,3
Q50295027,3
Q1025479,3
Q106512243,3
Q40053,3
Q2066129,3
Q591536,3
Q4668478,3
Q1025466,3
Q778502,3
Q388768,3
Q498231,3
Q1164348,3
Q36756,3
Q2706246,3
Q3062714,3
Q757329,3
Q2853058,3
Q2024100,3
Q496696,3
Q252000,2
Q135005,2
Q75984,2
Q67212716,2
Q19881309,2
Q119094,2
Q849063,2
Q815436,2
Q1026165,2
Q111588702,2
Q5995805,2
Q767568,2
Q66424278,2
Q3491754,2
Q107419831,2
Q1824714,2
Q127683,2
Q11086137,2
Q18236869,2
Q652668,2
Q152908,2
Q3587621,2
Q48136,2
Q76580,2
Q835565,2
Q4071928,2
Q1545625,2
Q918840,2
Q590545,2
Q312492,2
Q76824392,2
Q4241801,2
Q228284,2
Q1505902,2
Q7293897,2
Q218446,2
Q277788,2
Q3815525,2
Q460143,2
Q17015701,2
Q4676786,2
Q840435,2
Q111013851,2
Q2689466,2
Q5804321,2
Q42915628,2
Q2749287,2
Q219561,2
Q3502640,2
Q88178910,2
Q54942377,2
Q870684,2
Q192055,2
Q534853,2
Q179422,2
Q67086419,2
Q11288021,2
Q4876601,2
Q6948987,2
Q1983449,2
Q283681,2
Q63781172,2
Q105570,2
Q100159,2
Q208855,2
Q192050,2
Q211087,2
Q65640303,2
Q9029216,2
Q1475448,2
Q1134817,2
Q109780817,2
Q99203881,2
Q3291045,2
Q542289,2
Q1062923,2
Q65119127,2
Q133333,2
Q76240,2
Q8565134,2
Q10591700,2
Q55392031,2
Q9720,2
Q3640479,2
Q28136551,2
Q19819828,2
Q109771254,2
Q3649349,2
Q23670513,2
Q60983001,2
Q10818,2
Q2691275,2
Q638761,2
Q8394,2
Q1713106,2
Q2576697,2
Q111524362,2
Q107802,2
Q10336336,2
Q3642349,2
Q106477445,2
Q1993476,2
Q839512,2
Q26156788,2
Q23985856,2
Q8046759,2
Q6005183,2
Q163891,2
Q1025404,2
Q193484,2
Q11455849,2
Q17374096,2
Q254002,2
Q109676270,2
Q515302,2
Q26156986,2
Q673281,2
Q463237,2
Q3532650,2
Q3746560,2
Q207693,2
Q2359563,2
Q4688003,2
Q694586,2
Q64339357,2
Q17501769,2
Q1877599,2
Q62066211,2
Q2604964,1
Q11995896,1
Q109672418,1
Q1946757,1
Q2084807,1
Q111411145,1
Q239255,1
Q2211650,1
Q50433857,1
Q19085,1
Q105429518,1
Q805426,1
Q663016,1
Q235757,1
Q17015132,1
Q4115166,1
Q424200,1
Q3560392,1
Q714349,1
Q513072,1
Q109771951,1
Q106880623,1
Q80995881,1
Q45178445,1
Q3386847,1
Q55816370,1
Q312522,1
Q10572454,1
Q1934603,1
Q28698151,1
Q28403236,1
Q30015850,1
Q13694993,1
Q96400880,1
Q967844,1
Q73484013,1
Q65979,1
Q6555462,1
Q937557,1
Q993771,1
Q11907095,1
Q96761046,1
Q5618454,1
Q76432701,1
Q67174168,1
Q1414900,1
Q199416,1
Q2961398,1
Q112016492,1
Q74011,1
Q109674701,1
Q21012148,1
Q695020,1
Q11583115,1
Q111669479,1
Q207469,1
Q6407156,1
Q554482,1
Q798023,1
Q17085213,1
Q621076,1
Q111013764,1
Q2472593,1
Q30177123,1
Q109773424,1
Q109676114,1
Q108285843,1
Q316743,1
Q108871071,1
Q1155691,1
Q64876905,1
Q1995675,1
Q11452132,1
Q15255064,1
Q4468577,1
Q1752350,1
Q501866,1
Q7569100,1
Q661297,1
Q16329328,1
Q2361889,1
Q576338,1
Q1261491,1
Q4378809,1
Q473853,1
Q513631,1
Q60751540,1
Q76421,1
Q135162,1
Q7801524,1
Q1832006,1
Q81341687,1
Q658778,1
Q55644169,1
Q827681,1
Q458304,1
Q301448,1
Q1134821,1
Q789633,1
Q392963,1
Q26156733,1
Q3435247,1
Q47460535,1
Q552113,1
Q54957578,1
Q2031421,1
Q2866972,1
Q20649407,1
Q106511772,1
Q35413,1
Q640682,1
Q1174599,1
Q5400895,1
Q1814439,1
Q10345565,1
Q19881717,1
Q109772272,1
Q17329819,1
Q5362385,1
Q900214,1
Q66120984,1
Q368779,1
Q28120546,1
Q151018,1
Q85754778,1
Q2776402,1
Q1626204,1
Q51653,1
Q30323897,1
Q6938103,1
Q1995107,1
Q68557476,1
Q1225041,1
Q508967,1
Q492814,1
Q111020511,1
Q2247281,1
Q3092671,1
Q11081100,1
Q1148722,1
Q2489794,1
Q70783842,1
Q109675722,1
Q45825724,1
Q931639,1
Q645986,1
Q3641549,1
Q2087792,1
Q67281158,1
Q4303,1
Q2475745,1
Q1053501,1
Q24930704,1
Q190819,1
Q67277883,1
Q38624,1
Q109690769,1
Q2858460,1
Q926331,1
Q1259359,1
Q51661,1
Q19344246,1
Q680838,1
Q339159,1
Q896527,1
Q305918,1
Q26156868,1
Q3057073,1
Q63245644,1
Q316868,1
Q714211,1
Q59576416,1
Q108801836,1
Q19368231,1
Q22947455,1
Q1061018,1
Q20671234,1
Q908508,1
Q697842,1
Q6539177,1
Q96065241,1
Q9386436,1
Q2092950,1
Q52152689,1
Q110645708,1
Q3559567,1
Q485675,1
Q799299,1
Q7170074,1
Q71046962,1
Q26157328,1
Q2342867,1
Q6102087,1
Q19861762,1
Q3174392,1
Q109714127,1
Q120779,1
Q111314232,1
Q747483,1
Q464643,1
Q22022106,1
Q100983478,1
Q61075853,1
Q1297897,1
Q646522,1
Q1130507,1
Q83858,1
Q1551045,1
Q3879282,1
Q1774772,1
Q1366396,1
Q3043646,1
Q700728,1
Q111181269,1
Q2304343,1
Q1363456,1
Q5533462,1
Q5905675,1
Q97164545,1
Q67276413,1
Q743060,1
Q1150578,1
Q14752873,1
Q109217482,1
Q2552748,1
Q7168386,1
Q965477,1
Q109291404,1
Q105086050,1
Q1144602,1
Q102188098,1
Q11652138,1
Q112573766,1
Q660567,1
Q39917302,1
Q546075,1
Q131406,1
Q208199,1
Q27114029,1
Q1243210,1
Q260690,1
Q333740,1
Q11287,1
Q233693,1
Q1968528,1
Q21042045,1
Q210749,1
Q12950902,1
Q11785455,1
Q4625199,1
Q213456,1
Q51659,1
Q385811,1
Q1347682,1
Q750567,1
Q1463845,1
Q64584948,1
Q1707435,1
Q19841872,1
Q10858950,1
Q2736146,1
Q1752358,1
Q17397442,1
Q106943158,1
Q1309446,1
Q102231206,1
Q11388929,1
Q2916113,1
Q97400200,1
Q3777641,1
Q569287,1
Q8184130,1
Q4751008,1
Q4135498,1
Q487163,1
Q1823899,1
Q2766899,1
Q713516,1
Q109546618,1
Q938497,1
Q4914564,1
Q26156943,1
Q81672,1
Q244926,1
Q476345,1
Q67267331,1
Q79967,1
Q51657,1
Q641898,1
Q51654,1
Q102247875,1
Q108661194,1
Q6527674,1
Q66626463,1
Q3929535,1
Q22090310,1
Q111528870,1
Q3309852,1
Q109529478,1
Q127013,1
Q108479105,1
Q47082588,1
Q6066207,1
Q8029917,1
Q18015660,1
Q20025140,1
Q98381467,1
Q715695,1
Q71105767,1
Q109691059,1
Q18354996,1
Q1865659,1
Q111064027,1
Q11813656,1
Q2567462,1
Q7883956,1
Q322936,1
Q109767136,1
Q638079,1
Q166582,1
Q1139615,1
Q102229062,1
Q110281451,1
Q217528,1
Q423888,1
Q3489516,1
Q7458758,1
Q37426009,1
Q56424918,1
Q17199280,1
Q111383118,1
Q4808585,1
Q492926,1
Q3284177,1
Q12829829,1
Q8000914,1
Q1022864,1
Q28119274,1
Q11476965,1
