number_of_images,item,itemLabel
2980,Q40446,nude
1291,Q95965839,George Floyd protests
957,Q3235597,crucifixion
898,Q14373,fishing
782,Q36963,hunting
357,Q9103,breast
277,Q58,penis
271,Q7873,blood
265,Q8124,human penis
245,Q10791,nudity
163,Q3199915,massacre
163,Q4282505,animal slaughter
158,Q4620674,sex organ
127,Q2192288,vulva
125,Q110999040,2022 Russian invasion of Ukraine
122,Q2763,The Holocaust
117,Q10807,cock ring
114,Q42165,buttocks
110,Q133993,penile erection
102,Q110795550,Murder of Moïse Kabagambe
98,Q2724165,male toplessness
98,Q22710,cone
93,Q849944,safari
89,Q650891,glans penis
79,Q174471,scrotum
78,Q3966286,execution
74,Q1784476,cormorant fishing
72,Q808132,barefoot
69,Q575439,clam digging
67,Q1899269,political repression
67,Q56328993,Sochy massacre
62,Q83345,male circumcision
61,Q8495,milk
60,Q1194492,angling
58,Q41522095,2017 Las Vegas shooting
57,Q496,feces
55,Q486775,lynching
55,Q673203,foreskin
54,Q5880,vagina
54,Q96035000,"George Floyd protests in Charlottesville, Virginia"
54,Q188641,nipple
52,Q1996993,police brutality
51,Q937330,kouros
51,Q17977112,female toplessness
46,Q124490,violence
46,Q132821,murder
45,Q8396,masturbation
43,Q5873,sexual intercourse
42,Q96032053,George Floyd protests in Indianapolis
40,Q17164849,police brutality in the United States
38,Q9612,uterus
37,Q1406501,labia
37,Q912179,orgy
34,Q10806,September 11 attacks
33,Q232755,dragon fruit
33,Q843533,areola
32,Q9384,testicle
32,Q8452,abortion
31,Q132781,torture
31,Q324139,Sonnenstein Euthanasia Centre
30,Q131192,Migration Period
30,Q11722446,mons pubis
30,Q152311,nudism
29,Q181001,erotica
27,Q873072,clitoris
27,Q10737,suicide
26,Q9631,ovary
24,Q9715,Semen
24,Q83772,toplessness
24,Q170430,predation
22,Q204933,decapitation
21,Q10988133,cow's milk
21,Q847935,nude beach
21,Q4112929,human vagina
21,Q8454,capital punishment
20,Q182865,War in Afghanistan
19,Q8401,fellatio
19,Q4157206,Hall–Mills murder case
