id,obj_id
M60942788,Q40446
M115875406,Q40446
M114558673,Q76469
M60935519,Q175111
M60871293,Q40446
M60927785,Q3235597
M115088872,Q110795550
M60292096,Q36963
M65051868,Q14373
M90920711,Q96032053
M60925777,Q3235597
M60424131,Q40446
M60192868,Q40446
M90830127,Q95965839
M82113240,Q4157206
M60908090,Q40446
M96034784,Q41522095
M93924269,Q42165
M105891304,Q14373
M115882017,Q14373
M90702121,Q40446
M66180260,Q291
M65525917,Q36963
M90776040,Q95965839
M61135004,Q40446
M94117353,Q4282505
M115088887,Q110795550
M60862083,Q3235597
M58746448,Q40446
M86441475,Q40446
M92647486,Q42165
M60865584,Q14373
M94117375,Q4282505
M112599781,Q9384
M60420372,Q36963
M38589775,Q8401
M84820028,Q82542
M57857125,Q3235597
M90801923,Q95965839
M116457534,Q111383118
M315098,Q11388929
M60888553,Q40446
M95627343,Q41522095
M60871260,Q40446
M87241507,Q849944
M10546772,Q1784476
M110918913,Q2750241
M23783,Q8124
M60873737,Q40446
M60510891,Q40446
M64830070,Q36963
M70774854,Q36963
M60422442,Q40446
M30910898,Q7873
M90830208,Q95965839
M90802152,Q95965839
M90924240,Q96035000
M86510115,Q1800556
M61148942,Q14373
M60859961,Q40446
M61132717,Q40446
M60422186,Q40446
M119903082,Q36963
M90802088,Q95965839
M120256710,Q3882219
M90776284,Q95965839
M57670462,Q3235597
M60866667,Q40446
M110673115,Q36963
M32112747,Q188494
M61137944,Q40446
M19013751,Q10807
M107868045,Q2179394
M60896117,Q3235597
M60862867,Q3235597
M76372250,Q1480864
M102983284,Q51654
M61131611,Q40446
M60894189,Q40446
M119835967,Q2192288
M60858182,Q14373
M57856914,Q3235597
M61132283,Q40446
M118264762,Q10791
M74203934,Q9384
M104734470,Q40446
M91011953,Q36963
M60171125,Q36963
M90742430,Q95965839
M113212410,Q849944
M106067085,Q40446
M90547037,Q4620674
M90851252,Q232755
M90807670,Q95965839
M56468914,Q40446
M112817963,Q8396
M60912466,Q3235597
M90829996,Q95965839
M115088895,Q110795550
M7704674,Q10791
M57371522,Q36963
M3824360,Q10816
M20165553,Q673203
M80041221,Q36963
M90802080,Q95965839
M92203837,Q188641
M89447745,Q8452
M101540040,Q808132
M79744377,Q2763
M65840568,Q232755
M84388024,Q14373
M107160239,Q14373
M80987556,Q16330780
M60920525,Q3235597
M60169259,Q40446
M60945517,Q3235597
M96698646,Q56328993
M92630299,Q188641
M95651890,Q41522095
M112345600,Q808132
M6120027,Q8495
M8237695,Q650891
M60878710,Q40446
M61206486,Q40446
M113540402,Q1022864
M90802146,Q95965839
M60886320,Q40446
M118417917,Q111968653
M90702685,Q9384
M90830065,Q95965839
M90741849,Q95965839
M65501264,Q833304
M5466219,Q9103
M60858844,Q3235597
M1217002,Q58
M106800687,Q8124
M60408654,Q40446
M90776330,Q95965839
M60871272,Q40446
M106312764,Q14373
M57854095,Q40446
M60886016,Q40446
M109708798,Q14373
M60292469,Q40446
M60277877,Q36963
M116567326,Q8124
M17119702,Q8396
M90830075,Q95965839
M60914285,Q3235597
M23402404,Q58
M57670911,Q3235597
M79696191,Q8495
M58780763,Q14373
M90776261,Q95965839
M91007592,Q4620674
M60920461,Q3235597
M65147023,Q40446
M30038940,Q34168
M60415338,Q40446
M7705057,Q10791
M119835102,Q8396
M94116926,Q4282505
M28062245,Q37878723
M89486811,Q64938817
M94672603,Q9103
M60883276,Q3235597
M90807691,Q95965839
M61146396,Q40446
M2682270,Q552113
M88912960,Q36963
M117662432,Q14373
M1015832,Q2763
M91243897,Q28120472
M99219870,Q1996993
M90801895,Q95965839
M564836,Q188641
M109367169,Q107461898
M103809293,Q14373
M90873631,Q95965839
M110876862,Q211011
M120256710,Q244926
M60885007,Q40446
M7705066,Q10791
M118043159,Q8124
M80870758,Q1091648
M72127925,Q1784476
M60285832,Q36963
M7511954,Q9103
M60876323,Q40446
M94091188,Q4282505
M100045449,Q11919677
M90802072,Q95965839
M60167772,Q40446
M60873600,Q40446
M60409316,Q40446
M60859180,Q40446
M57396067,Q40446
M91050911,Q2797478
M84984262,Q808132
M102537068,Q844482
M60170101,Q3235597
M57862288,Q40446
M85721684,Q81360866
M60843165,Q40446
M67191110,Q5804321
M58446317,Q5880
M65051865,Q14373
M975583,Q912179
M69245860,Q8124
M12172860,Q58
M104772924,Q14373
M60415796,Q40446
M91005334,Q95965839
M60866898,Q40446
M90873636,Q95965839
M92311624,Q9103
M60414859,Q40446
M108311096,Q14373
M119218283,Q8396
M94672497,Q36963
M90802120,Q95965839
M88127712,Q40446
M92426672,Q42165
M60865080,Q40446
M103398922,Q8495
M90862605,Q95965839
M105000958,Q124490
M90802199,Q95965839
M92311191,Q11722446
M93138224,Q4620674
M60517099,Q3235597
M59660288,Q40446
M65099513,Q40446
M106033009,Q3882219
M94117365,Q4282505
M60943159,Q40446
M92490086,Q42165
M91763653,Q58
M57670495,Q3235597
M110673104,Q36963
M108694836,Q232755
M95657316,Q41522095
M110364966,Q3251025
M92033864,Q83772
M60963396,Q67086419
M65932943,Q849944
M91225639,Q40446
M60171257,Q3235597
M90830326,Q95965839
M9989782,Q174471
M94117380,Q4282505
M94117351,Q4282505
M106253968,Q673265
M118046266,Q133993
M87751416,Q14373
M36033910,Q7873
M52684302,Q40446
M60296435,Q3235597
M12862264,Q650891
M115809334,Q14373
M90807328,Q95965839
M60514666,Q40446
M60183106,Q40446
M97107273,Q40924
M60914333,Q40446
M90873640,Q95965839
M105000942,Q124490
M8712059,Q10807
M65146390,Q36963
M15397380,Q40446
M89608866,Q40446
M112299034,Q1899269
M100698250,Q40446
M1702640,Q1572196
M115055023,Q110795550
M41784906,Q1412313
M81072135,Q1194492
M20994001,Q5007906
M83128455,Q7873
M89052388,Q2724165
M110918614,Q10791
M65544855,Q36963
M90724271,Q95579249
M90995059,Q42767
M96262543,Q7873
M87296890,Q190845
M65146422,Q36963
M31244227,Q58
M26192492,Q2763
M90902188,Q47092
M57669556,Q3235597
M108236081,Q133993
M107267787,Q107419831
M26143796,Q9103
M89533905,Q8046759
M60282960,Q40446
M110669598,Q36963
M20756217,Q10807
M117938354,Q111968653
M114416394,Q14373
M60295854,Q40446
M107868045,Q10791
M57670746,Q40446
M973425,Q8401
M60891841,Q40446
M60863245,Q36963
M60907659,Q40446
M90741834,Q95965839
M8680278,Q17977112
M83633496,Q2981049
M90489551,Q3966286
M16846174,Q109675722
M94116925,Q4282505
M105466031,Q36633
M93511488,Q952443
M65538545,Q36963
M67939515,Q486775
M3013007,Q8124
M15608152,Q10807
M79733910,Q324139
M60417767,Q40446
M61209689,Q40446
M107441268,Q14373
M57396590,Q3235597
M60420549,Q40446
M61495715,Q2094798
M90823096,Q95965839
M60920614,Q3235597
M60908197,Q14373
M6569849,Q673203
M105203202,Q1194492
M16598535,Q16943283
M82771709,Q545449
M107928476,Q14373
M109998831,Q14373
M90776287,Q95965839
M115809398,Q14373
M90806354,Q7873
M90877203,Q95965839
M104065149,Q17164849
M106712675,Q14373
M60852900,Q40446
M60927435,Q3235597
M57857211,Q3235597
M82651186,Q1194492
M63117919,Q7873
M26475063,Q133993
M30779046,Q5880
M98873758,Q808132
M115751767,Q110999040
M107131349,Q14373
M3427737,Q673203
M60920497,Q36963
M105154099,Q14373
M60285268,Q3235597
M65916235,Q5880
M60841720,Q40446
M94117354,Q4282505
M60171168,Q40446
M90899066,Q95965839
M99736448,Q808132
M59665276,Q40446
M60860957,Q40446
M60842840,Q40446
M90971967,Q132821
M96035284,Q41522095
M57857883,Q3235597
M113620265,Q2192288
M73589661,Q4620674
M95660795,Q41522095
M65566371,Q36963
M114464921,Q9384
M72770100,Q1081574
M65137893,Q36963
M98002049,Q3199915
M60914290,Q3235597
M57861969,Q40446
M60877261,Q40446
M60857092,Q40446
M67968223,Q1194492
M4981959,Q7873
M22876534,Q152908
M60876620,Q14373
M43296100,Q9103
M36489550,Q9612
M90742440,Q95965839
M78297313,Q9612
M90776340,Q95965839
M60904814,Q3235597
M8453306,Q40446
M10216477,Q9103
M11809877,Q109690069
M94689088,Q100159
M60935136,Q40446
M57672190,Q36963
M115882266,Q30323897
M93591505,Q188641
M19378862,Q918319
M57384466,Q83345
M61145660,Q3235597
M2929784,Q10791
M94091212,Q4282505
M92740615,Q460143
M60911803,Q40446
M26675082,Q164983
M76138694,Q1025466
M60854149,Q40446
M104324355,Q1194492
M60949337,Q3235597
M108928772,Q58
M79696161,Q36963
M97195465,Q3199915
M89897044,Q9631
M90776293,Q95965839
M95663294,Q41522095
M91004497,Q95965839
M90830112,Q95965839
M59663755,Q40446
M60161564,Q3235597
M90830347,Q95965839
M1321994,Q1343157
M60854467,Q40446
M91004494,Q95965839
M79733941,Q324139
M60909763,Q40446
M36811184,Q2763
M108082223,Q188494
M60422519,Q40446
M90833008,Q95965839
M61147256,Q40446
M115037394,Q14373
M61457075,Q3966286
M90802144,Q95965839
M73611069,Q1404482
M65748060,Q14373
M90823248,Q95965839
M61143057,Q40446
M102970417,Q2763
M83062321,Q4157206
M90920693,Q96032053
M119687281,Q6937963
M285461,Q1784963
M95117247,Q58
M65567717,Q36963
M28984888,Q109728975
M60871122,Q40446
M115988480,Q40446
M92708623,Q40446
M57854087,Q40446
M60881118,Q40446
M17240410,Q8124
M61143618,Q40446
M58747919,Q40446
M90802183,Q95965839
M90924360,Q96035000
M91163851,Q96032053
M15070438,Q133993
M204463,Q1784476
M94015637,Q41397
M94644821,Q14373
M27463351,Q109771951
M94399472,Q211011
M65150403,Q40446
M57855915,Q36963
M60841620,Q40446
M65576592,Q36963
M90801921,Q95965839
M7744635,Q331828
M60892072,Q40446
M98002627,Q56328993
M113609227,Q2192288
M60898652,Q40446
M115542104,Q110999040
M118046261,Q8124
M60494514,Q14373
M107939102,Q14373
