image_id,cat_id,cat_label
M60942788,Q40446,nude
M115875406,Q40446,nude
M60871293,Q40446,nude
M60424131,Q40446,nude
M60192868,Q40446,nude
M60908090,Q40446,nude
M90702121,Q40446,nude
M61135004,Q40446,nude
M58746448,Q40446,nude
M86441475,Q40446,nude
M60888553,Q40446,nude
M60871260,Q40446,nude
M60873737,Q40446,nude
M60510891,Q40446,nude
M60422442,Q40446,nude
M60859961,Q40446,nude
M61132717,Q40446,nude
M60422186,Q40446,nude
M60866667,Q40446,nude
M61137944,Q40446,nude
M61131611,Q40446,nude
M60894189,Q40446,nude
M61132283,Q40446,nude
M104734470,Q40446,nude
M106067085,Q40446,nude
M56468914,Q40446,nude
M60169259,Q40446,nude
M60878710,Q40446,nude
M61206486,Q40446,nude
M60886320,Q40446,nude
M60408654,Q40446,nude
M60871272,Q40446,nude
M57854095,Q40446,nude
M60886016,Q40446,nude
M60292469,Q40446,nude
M65147023,Q40446,nude
M60415338,Q40446,nude
M61146396,Q40446,nude
M60885007,Q40446,nude
M60876323,Q40446,nude
M60167772,Q40446,nude
M60873600,Q40446,nude
M60409316,Q40446,nude
M60859180,Q40446,nude
M57396067,Q40446,nude
M57862288,Q40446,nude
M60843165,Q40446,nude
M60415796,Q40446,nude
M60866898,Q40446,nude
M60414859,Q40446,nude
M88127712,Q40446,nude
M60865080,Q40446,nude
M59660288,Q40446,nude
M65099513,Q40446,nude
M60943159,Q40446,nude
M91225639,Q40446,nude
M52684302,Q40446,nude
M60514666,Q40446,nude
M60183106,Q40446,nude
M60914333,Q40446,nude
M15397380,Q40446,nude
M89608866,Q40446,nude
M100698250,Q40446,nude
M60282960,Q40446,nude
M60295854,Q40446,nude
M57670746,Q40446,nude
M60891841,Q40446,nude
M60907659,Q40446,nude
M60417767,Q40446,nude
M61209689,Q40446,nude
M60420549,Q40446,nude
M60852900,Q40446,nude
M60841720,Q40446,nude
M60171168,Q40446,nude
M59665276,Q40446,nude
M60860957,Q40446,nude
M60842840,Q40446,nude
M57861969,Q40446,nude
M60877261,Q40446,nude
M60857092,Q40446,nude
M8453306,Q40446,nude
M60935136,Q40446,nude
M60911803,Q40446,nude
M60854149,Q40446,nude
M59663755,Q40446,nude
M60854467,Q40446,nude
M60909763,Q40446,nude
M60422519,Q40446,nude
M61147256,Q40446,nude
M61143057,Q40446,nude
M60871122,Q40446,nude
M115988480,Q40446,nude
M92708623,Q40446,nude
M57854087,Q40446,nude
M60881118,Q40446,nude
M61143618,Q40446,nude
M58747919,Q40446,nude
M65150403,Q40446,nude
M60841620,Q40446,nude
M60892072,Q40446,nude
M60898652,Q40446,nude
M60163447,Q40446,nude
M115878404,Q40446,nude
M65146500,Q40446,nude
M60873858,Q40446,nude
M115354867,Q40446,nude
M90514776,Q40446,nude
M60264344,Q40446,nude
M60858422,Q40446,nude
M84618562,Q40446,nude
M65149880,Q40446,nude
M7705006,Q40446,nude
M60877634,Q40446,nude
M57395735,Q40446,nude
M60842782,Q40446,nude
M60283079,Q40446,nude
M60286302,Q40446,nude
M65097378,Q40446,nude
M60168177,Q40446,nude
M60503657,Q40446,nude
M61207668,Q40446,nude
M57852429,Q40446,nude
M60862049,Q40446,nude
M60510939,Q40446,nude
M59662822,Q40446,nude
M60879704,Q40446,nude
M60166165,Q40446,nude
M96173580,Q40446,nude
M60929036,Q40446,nude
M61134703,Q40446,nude
M60847001,Q40446,nude
M60880274,Q40446,nude
M60940852,Q40446,nude
M75826516,Q40446,nude
M61141890,Q40446,nude
M60887658,Q40446,nude
M57869403,Q40446,nude
M65091790,Q40446,nude
M61131092,Q40446,nude
M60501113,Q40446,nude
M61134758,Q40446,nude
M61143483,Q40446,nude
M59659419,Q40446,nude
M58757916,Q40446,nude
M60890279,Q40446,nude
M106578653,Q40446,nude
M60859817,Q40446,nude
M60858582,Q40446,nude
M81538814,Q40446,nude
M57868060,Q40446,nude
M60297529,Q40446,nude
M57870028,Q40446,nude
M57673337,Q40446,nude
M60876571,Q40446,nude
M115888394,Q40446,nude
M91073443,Q40446,nude
M60847900,Q40446,nude
M14245681,Q40446,nude
M86441344,Q40446,nude
M110918619,Q40446,nude
M57673290,Q40446,nude
M60885454,Q40446,nude
M60419179,Q40446,nude
M60907950,Q40446,nude
M60953084,Q40446,nude
M61210332,Q40446,nude
M115874159,Q40446,nude
M60509770,Q40446,nude
M57395460,Q40446,nude
M60866616,Q40446,nude
M60419110,Q40446,nude
M58745031,Q40446,nude
